CO_ANO,CO_MES,CO_MUN,CO_PAIS,KG_LIQUIDO,SG_UF_MUN,SH4,VL_FOB
1997,06,3443303,063,11308,SP,9306,87759
1997,02,3443303,087,4641,SP,9306,46285
1997,10,3443303,063,10445,SP,9306,92110
1997,05,3443303,538,18759,SP,9306,239190
1997,11,3450308,249,925,SP,9306,19600
1997,07,3443303,063,10400,SP,9306,84433
1997,06,3443303,087,1556,SP,9306,13028
1997,11,3443303,548,4968,SP,9306,38195
1997,12,3443303,063,6637,SP,9306,60032
1997,08,3443303,764,13062,SP,9306,157000
1997,08,3443303,628,1411,SP,9306,9775
1997,07,3443303,232,61,SP,9306,450
1997,06,3443303,245,25380,SP,9306,185637
1997,03,3443303,556,6,SP,9306,50
1997,08,3443303,087,31,SP,9306,77
1997,04,3443303,023,15648,SP,9306,125800
1997,09,3443303,351,46,SP,9306,360
1997,06,3443303,249,3713,SP,9306,29382
1997,03,3443303,756,50,SP,9306,325
1997,10,3443303,249,5649,SP,9306,34528
1997,10,3450308,246,2258,SP,9306,255000
1997,10,3443303,548,12320,SP,9306,130900
1997,10,3449904,169,26855,SP,9306,1574851
1997,05,3443303,169,31654,SP,9306,418640
1998,03,3443303,756,11521,SP,9306,94038
1998,04,3443303,827,25,SP,9306,50
1998,12,3443303,169,10663,SP,9306,191695
1998,12,3443303,767,6337,SP,9306,50099
1998,05,3443303,063,17420,SP,9306,137698
1998,09,3443303,087,55444,SP,9306,960880
1998,05,3443303,249,13112,SP,9306,90892
1998,10,3443303,573,3024,SP,9306,22716
1998,03,3443303,169,24312,SP,9306,190000
1998,03,3449904,158,1978,SP,9306,110697
1998,10,3443303,023,25201,SP,9306,244099
1998,06,3443303,767,10865,SP,9306,81548
1998,05,3443303,169,36323,SP,9306,507764
1998,11,3443303,087,28402,SP,9306,478994
1998,08,3443303,063,16317,SP,9306,130144
1998,08,3443303,169,2668,SP,9306,50019
1998,07,3449904,158,1287,SP,9306,51272
1998,06,3443303,063,7983,SP,9306,36913
1998,09,3443303,628,6100,SP,9306,60000
1998,02,3443303,087,793,SP,9306,13940
1998,02,3443303,249,27415,SP,9306,189908
1998,05,3443303,275,4237,SP,9306,21982
1998,10,3443303,249,16394,SP,9306,115759
1998,07,3443303,586,5675,SP,9306,62395
1998,04,3443303,538,6,SP,9306,50
1998,07,3443303,628,6093,SP,9306,45342
1998,06,3443303,023,10968,SP,9306,68718
1998,06,3443303,249,12328,SP,9306,137077
1998,12,3443303,603,1404,SP,9306,17580
1998,02,3443303,820,10553,SP,9306,117986
1998,01,3443303,249,6785,SP,9306,41987
1998,04,3443303,083,1160,SP,9306,8900
1998,12,3443303,087,17375,SP,9306,252735
1998,07,3443303,063,11757,SP,9306,60050
1998,07,3443303,169,21952,SP,9306,266161
1998,03,3443303,063,6537,SP,9306,56129
1998,09,3449904,665,330,SP,9306,52800
1998,05,3443303,548,73,SP,9306,540
1998,05,3443303,528,1303,SP,9306,11037
1998,12,3306107,087,164,RJ,9306,8600
1998,11,3443303,249,7262,SP,9306,47272
1998,12,3443303,063,3383,SP,9306,28395
1998,04,3443303,087,95,SP,9306,2298
1998,02,3443303,741,16341,SP,9306,113853
1998,08,3443303,845,3366,SP,9306,28548
1998,07,3443303,163,6102,SP,9306,47249
1998,06,3443303,589,20217,SP,9306,209466
1998,10,3443303,271,1948,SP,9306,11861
1998,06,3443303,776,5,SP,9306,88
